KODE_SIMPUL;NAMA_SIMPUL;KATEGORI_SIMPUL;SUB_KATEGORI_SIMPUL;LATITUDE;LONGITUDE
SEA-TPJ;Tuapeijat;Pelabuhan;Pelabuhan Penyeberangan;-2.029972222222222;99.59322499999999
SEA-TUH;Tulehu;Pelabuhan;Pelabuhan Laut;-3.58625;128.3297611111111
SEA-OBJECTOBJECT-43;Ujung;Pelabuhan;Pelabuhan Penyeberangan;-7.1978941;112.7346705
SEA-OBJECTOBJECT-44;Ulee Lheu;Pelabuhan;Pelabuhan Penyeberangan;5.565192;95.294174
SEA-USI;Ulu Siau;Pelabuhan;Pelabuhan Laut;2.732216666666667;125.41585
SEA-PPWAR;Waara;Pelabuhan;Pelabuhan Penyeberangan;-5.426555555555556;122.5998333333333
SEA-OBJECTOBJECT-45;Wahai;Pelabuhan;Pelabuhan Penyeberangan;-2.7923663907817;129.51413259997
SEA-WGO;Waigeo (Raja Ampat);Pelabuhan;Pelabuhan Penyeberangan;-0.4100777777777778;130.8783472222222
SEA-WIO;Waikelo;Pelabuhan;Pelabuhan Laut;-9.388572222222221;119.2207083333333
SEA-PPWKL;Waikelo;Pelabuhan;Pelabuhan Penyeberangan;-9.385652777777777;119.2297194444444
SEA-WGP;Waingapu;Pelabuhan;Pelabuhan Laut;-9.638133333333332;120.2516055555556
SEA-PPWAP;Waingapu;Pelabuhan;Pelabuhan Penyeberangan;-9.636219444444444;120.2456527777778
SEA-PPWRT;Waipirit;Pelabuhan;Pelabuhan Penyeberangan;-3.346388888888889;128.3538888888889
SEA-OBJECTOBJECT-46;Waisala;Pelabuhan;Pelabuhan Penyeberangan;-2.919311111111111;129.2351027777778
SEA-WKI;Wakai;Pelabuhan;Pelabuhan Penyeberangan;-0.4150638888888889;121.8712583333333
SEA-WCI;Wanci;Pelabuhan;Pelabuhan Laut;-5.338877777777777;123.5335777777778
SEA-PPWNC;Wanci;Pelabuhan;Pelabuhan Penyeberangan;-5.338611111111111;123.5339166666667
SEA-WRN;Waren;Pelabuhan;Pelabuhan Laut;-2.200591666666667;136.4228111111111
SEA-WSR;Wasior;Pelabuhan;Pelabuhan Laut;-2.727786111111111;134.5033638888889
SEA-OBJECTOBJECT-47;Wasior (Sewandaimuni);Pelabuhan;Pelabuhan Penyeberangan;-2.801547222222222;134.5228638888889
SEA-WED;Weda;Pelabuhan;Pelabuhan Laut;0.3343333333333333;127.8818527777778
SEA-WDA;Weda;Pelabuhan;Pelabuhan Penyeberangan;-0.3177083333333333;127.872675
SEA-OBJECTOBJECT-48;Wika Beton;Pelabuhan;Pelabuhan Penyeberangan;-5.84240757482255;105.772914940524
SEA-WII;Wini;Pelabuhan;Pelabuhan Laut;-9.177502777777777;124.4923361111111
SEA-KXR;Wonreli;Pelabuhan;Pelabuhan Laut;-8.080308333333333;127.1464722222222
SEA-OBJECTOBJECT-49;Wunlah;Pelabuhan;Pelabuhan Penyeberangan;-7.321475;131.4387361111111
BUS-TERMINALBACEHBARATDAYA;Aceh Barat Daya;Terminal;B;3.73836487661783;96.8382745200551
BUS-TERMINALBACEHSELATAN;Aceh Selatan;Terminal;B;3.3923627808326;97.1946292299946
BUS-OBJECTOBJECT;Aceh Tamiang;Terminal;B;4.28074509644875;98.0572802866812
BUS-AJO;Alam Barajo;Terminal;A;-1.62906235928;103.551724001
BUS-AAL;Alang-Alang Lebar;Terminal;A;-2.91716323;104.68154814
BUS-TERMINALBAMBULU;Ambulu;Terminal;B;-8.34370752237425;113.593125670834
BUS-APS;Amplas;Terminal;A;3.53917555039;98.7180999664
BUS-AAI;Anak Air;Terminal;A;-0.825611;100.330397
BUS-TERMINALBANJUKLADANG;Anjuk Ladang;Terminal;B;-7.59196042921005;111.891736527956
BUS-B27;ARGA MAKMUR BENGKULU;Terminal;B;-3.43305555564;102.195555555
BUS-TERMINALBARJASA;Arjasa;Terminal;B;-8.11752817375865;113.748228743786
BUS-AJS;Arjosari;Terminal;A;-7.93388888871;112.658055555
BUS-AWJ;Arya Wiraraja;Terminal;A;-7.029402;113.859618
BUS-B148;Bakauheni;Terminal;B;-5.86888888891;105.754166667
BUS-B111;Banda Aceh (Baru);Terminal;B;5.52960764989;95.329226017
BUS-PYK;Bandar Raya Payung Sekaki;Terminal;A;0.502357970112;101.38881035
BUS-BMD;Bangga Bangun Desa;Terminal;A;-7.04666666624;109.024722223
BUS-BGK;Bangkinang;Terminal;A;0.338333333047;101.025277778
BUS-BKO;Bangko;Terminal;A;-2.07416666659;102.224722222
BUS-BJR;Banjar;Terminal;A;-7.36277777768;108.532222222
BUS-B955;Banjarbaru;Terminal;B;-3.43806598517515;114.847615473009
BUS-B53;Banjarnegara;Terminal;B;-7.39722222239;109.695555555
BUS-BYA;Banyuangga;Terminal;A;-7.75416666656;113.186111111
BUS-B997;Banyuputih;Terminal;B;109.927679;-6.972725
BUS-BSG;Baranangsiang;Terminal;A;-6.60416666693;106.805833333
BUS-BTH;Bareh Solok;Terminal;A;-0.797388;100.666973
BUS-BTH-1;Batoh;Terminal;A;5.529789;95.329159
BUS-TERMINALBBATU;Batu;Terminal;B;-7.88213186132771;112.533034148578
BUS-BAP;Batu Ampar;Terminal;A;-1.219744;116.856878
BUS-BKN;Batu Kuning;Terminal;A;-4.099927;104.156571
BUS-B130;Batu Sangkar;Terminal;B;-0.456944444455;100.591666666
BUS-B322;Baturaja;Terminal;B;-4.05750000004;103.865277778
BUS-BWN;Bawen;Terminal;A;-7.24520880984;110.43349148
BUS-TERMINALBBETEK;Betek;Terminal;B;-7.40273614318524;111.870577022801
BUS-BTG;Betung;Terminal;A;-2.851578;104.245144
BUS-BMK;Bimoku;Terminal;A;-10.139693610704105;123.67668048756543
BUS-TERMINALBBINTORO;Bintoro;Terminal;B;-6.89864329802967;110.635465008521
BUS-TERMINALBBIREUEN;Bireuen;Terminal;B;5.20128996565731;96.704932443861
BUS-B152;Blok M;Terminal;B;-6.24305555588;106.800833333
BUS-BBS;Bobot Sari;Terminal;A;-7.306225;109.366902
BUS-MOD;Bolaang Mongondow;Terminal;A;0.853261111;125.9985806
BUS-B214;Bondowoso;Terminal;B;-7.91111111126;113.823611111
BUS-TERMINALBBONTANG;Bontang;Terminal;B;0.138902860729113;117.455420195783
BUS-BRK;Boroko;Terminal;A;0.911639;123.282306
BUS-B213;Brawijaya;Terminal;B;-8.20166666703;114.374722222
BUS-B1401;Bubulak;Terminal;B;-6.56985062128995;106.75513
BUS-TERMINALBBUKITSURUNGAN;Bukit Surungan;Terminal;B;-0.454564997243496;100.399549508029
BUS-B89;Buleleng;Terminal;B;-8.11416666704;115.079444445
BUS-PWK;Bulupitu Purwokerto;Terminal;A;-7.44999999958;109.416666667
BUS-B204;Bumiayu;Terminal;B;-7.27194444419;109.016944444
BUS-TERMINALBBUNDER;Bunder;Terminal;B;-7.16961960110415;112.584367244992
BUS-B409;Bungku;Terminal;B;-2.42861111153;121.881944445
BUS-B946;Calang;Terminal;B;95.588908558213;4.64820596846622
BUS-TERMINALBCAPPABUNGAYYA;Cappabungayya;Terminal;B;-5.21689957848635;119.44716029742
BUS-B229;Caruban;Terminal;B;-7.59166666632;111.891388889
BUS-CPU;Cepu;Terminal;A;-7.15138888904;111.591388889
BUS-CKR;Ciakar;Terminal;A;-6.84166666652;107.921666666
BUS-B992;CIAWI;Terminal;B;-6.59791340725654;106.842952662087
BUS-CHM;Cicaheum;Terminal;A;-6.90222222218;107.656388889
BUS-B887;Cijulang;Terminal;B;-7.72944184848556;108.473941997701
BUS-CKP;Cikampek;Terminal;A;-6.3994444444;107.46
